THRUST,,,,,,,,,,,,0 degrees,,,45 degrees,,,90 degrees,,,135 degrees,
,,,1,,2,,3,,4,,,#,"X,Y",,#,"X,Y",,#,"X,Y",,#,"X,Y"
Angles (deg),X,Y,GameX,GameY,GameX,GameY,GameX,GameY,GameX,GameY,,1,"0,1",,1,"0/1,1/0",,1,"1,0",,1,"0/1,-1/0"
0,0,1,0,1,0,2,0,3,0,4,,2,"0,2",,2,"1,1",,2,"2,0",,2,"1,-1"
45,0.7071067812,0.7071067812,0/1,1/0,1,1,2,2,3,3,,3,"0,3",,3,"2,2",,3,"3,0",,3,"2,-2"
90,1,0,1,0,2,0,3,0,4,0,,4,"0,4",,4,"3,3",,4,"4,0",,4,"3,-3"
135,0.7071067812,-0.7071067812,0/1,-1/0,1,-1,2,-2,3,-3,,,,,,,,,,,,
180,0,-1,0,-1,0,-2,0,-3,0,-4,,180 degrees,,,225 degrees,,,270 degrees,,,315 degrees,
225,-0.7071067812,-0.7071067812,0/-1,-1/0,-1,-1,-2,-2,-3,-3,,#,"X,Y",,#,"X,Y",,#,"X,Y",,#,"X,Y"
270,-1,0,-1,0,-2,0,-3,0,-4,0,,1,"0,-1",,1,"0/-1,-1/0",,1,"-1,0",,1,"0/-1,1/0"
315,-0.7071067812,0.7071067812,0/-1,1/0,-1,1,-2,2,-3,3,,2,"0,-2",,2,"-1,-1",,2,"-2,0",,2,"-1,1"
360,0,1,0,1,0,2,0,3,0,4,,3,"0,-3",,3,"-2,-2",,3,"-3,0",,3,"-2,2"
,,,,,,,,,,,,4,"0,-4",,4,"-3,-3",,4,"-4,0",,4,"-3,3"
